"request_id","event_id","preprocessed_message_id","channel","message_id","sentiment_label","sentiment_score","positive_prob","negative_prob","neutral_prob","emotion_anger","emotion_fear","emotion_joy","emotion_sadness","emotion_surprise","emotion_disgust","aspects"
"gpt_min_0039","banksta:92405","f3c1e5ae-939f-4ddb-9ad0-57f4f74bebfb","banksta","92405","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""regulation"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""crypto"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0040","banksta:92404","bb804484-9d6b-4ba5-afc6-67a13a65172e","banksta","92404","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""war"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0041","banksta:92403","f0a3bd99-943b-49ac-ac42-972dc9241b0a","banksta","92403","positive","0.72","0.68","0.1","0.22","0","0","0.08","0","0","0","[{""aspect"":""markets"",""sentiment"":""positive"",""score"":0.7},{""aspect"":""company_results"",""sentiment"":""positive"",""score"":0.7},{""aspect"":""crypto"",""sentiment"":""positive"",""score"":0.7}]"
"gpt_min_0042","rbc_news:147946","879bb870-d9e4-4df4-922b-cf980eed9e08","rbc_news","147946","negative","0.72","0.12","0.68","0.2","0.16","0.08","0","0","0","0","[{""aspect"":""banking"",""sentiment"":""negative"",""score"":0.7},{""aspect"":""markets"",""sentiment"":""negative"",""score"":0.7},{""aspect"":""technology"",""sentiment"":""negative"",""score"":0.7}]"
"gpt_min_0043","banksta:92402","a1232efa-adae-4014-bff9-9eafb8d8aaad","banksta","92402","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""banking"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0044","banksta:92400","d0f2184c-3e2b-4191-8c2a-c5461cb0704a","banksta","92400","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0045","rbc_news:147945","7671b9b0-5a62-49ce-b975-4bd41060bc37","rbc_news","147945","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""war"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0046","banksta:92399","e076288f-a3c2-46cf-962d-aab93aa7141b","banksta","92399","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""company_results"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""security"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0047","rbc_news:147944","df4e030d-3c9f-451d-b0e6-12e0a5c03638","rbc_news","147944","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0048","ru2chvg:56517","6ba3523f-b610-417d-b9ef-1f5efa9b4366","ru2chvg","56517","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0049","banksta:92398","7eadd159-a752-47a0-82b5-354aa5356937","banksta","92398","positive","0.72","0.68","0.1","0.22","0","0","0.08","0","0","0","[{""aspect"":""markets"",""sentiment"":""positive"",""score"":0.7},{""aspect"":""company_results"",""sentiment"":""positive"",""score"":0.7}]"
"gpt_min_0050","condottieros:18231","01327fae-d0d1-4092-9d53-dfeb475e55fb","condottieros","18231","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""transport"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0051","condottieros:18230","8a843986-a18d-43c1-a609-e9e3aaecfd2f","condottieros","18230","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0052","banksta:92397","f6d9fc74-0d88-4bf8-a6eb-9b86c0b61bc2","banksta","92397","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""regulation"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""energy"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0053","condottieros:18227","83f42003-3560-4979-bd34-b82a6ec1a0e5","condottieros","18227","neutral","0.59","0.12","0.47","0.41","0","0","0","0","0","0","[{""aspect"":""transport"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""energy"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0054","rbc_news:147943","23be1e75-cfef-4224-abdc-51ad7c1b8288","rbc_news","147943","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""public_health"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0055","banksta:92396","8c94df6a-279e-49b4-94dd-5a659d24a58f","banksta","92396","positive","0.72","0.68","0.1","0.22","0","0","0.08","0","0","0","[{""aspect"":""markets"",""sentiment"":""positive"",""score"":0.7},{""aspect"":""regulation"",""sentiment"":""positive"",""score"":0.7},{""aspect"":""transport"",""sentiment"":""positive"",""score"":0.7}]"
"gpt_min_0056","banksta:92395","b127ab0f-481c-4eed-8945-65b1322a872d","banksta","92395","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0057","ru2chvg:56516","9f9fd22d-5962-46bb-9563-71368980c35b","ru2chvg","56516","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""retail"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0058","rbc_news:147942","0c66fb6f-37bf-45b9-b2f0-b6f0f82ddf39","rbc_news","147942","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""war"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""regulation"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0059","rbc_news:147941","349e62fd-8532-482c-9a81-7862b07a55cd","rbc_news","147941","positive","0.77","0.73","0.1","0.17","0","0","0.08","0","0.14","0","[{""aspect"":""other"",""sentiment"":""positive"",""score"":0.75}]"
"gpt_min_0060","rbc_news:147940","31515c9f-3b62-445b-98dd-76dfd97d07bb","rbc_news","147940","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""banking"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""security"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""gaming"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0061","condottieros:18226","11175a53-2aba-41fe-8d6c-c2e371ca232b","condottieros","18226","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""regulation"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0062","banksta:92394","39fc0c03-925f-4397-aeb0-dc043885fd8c","banksta","92394","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""retail"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0063","banksta:92393","3234488a-4765-4f46-831f-f56e1bb88145","banksta","92393","neutral","0.59","0.47","0.1","0.43","0","0","0.14","0","0","0","[{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0064","ru2chvg:56515","efffdb4a-ab3b-4048-a1e0-ac26c793fadc","ru2chvg","56515","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""media"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0065","rbc_news:147939","2af91d06-a23f-4c21-9345-3ee72f5ed4c2","rbc_news","147939","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""technology"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0066","banksta:92392","595cb987-912e-432c-9d1d-e16d71410956","banksta","92392","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""security"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0067","banksta:92391","e1a2d668-e4ad-4047-aca6-2e94c94a4f3c","banksta","92391","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""banking"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""gaming"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0068","rbc_news:147938","de58fa25-189a-4ab0-b722-e9e652ed812f","rbc_news","147938","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0069","banksta:92390","8c49f884-e29e-4a3e-bbb1-96f3c6953cfb","banksta","92390","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0070","ru2chvg:56511","876e008b-5c65-4c86-98e9-7bdcd4972b3b","ru2chvg","56511","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""retail"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0071","banksta:92389","9302e3e8-37b8-4fea-871c-4bd96249f23f","banksta","92389","negative","0.77","0.12","0.73","0.15","0.16","0.08","0","0","0","0.17","[{""aspect"":""banking"",""sentiment"":""negative"",""score"":0.75},{""aspect"":""security"",""sentiment"":""negative"",""score"":0.75}]"
"gpt_min_0072","rbc_news:147937","3861fbe6-e1e0-46f0-978a-0b40e3be7077","rbc_news","147937","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""regulation"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""energy"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0073","banksta:92388","c5495018-dcce-4914-8d4a-df9c10ce9345","banksta","92388","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""company_results"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0074","banksta:92387","a0eb235e-8146-49e0-b8ae-7bc5243678de","banksta","92387","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""regulation"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""crypto"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""gaming"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0075","rbc_news:147936","8a60f8b9-b29c-42b0-a19a-664bd6c1a9b1","rbc_news","147936","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""security"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0076","rbc_news:147935","461bf57a-3432-4b05-b7fe-24e381671779","rbc_news","147935","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""security"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0077","ru2chvg:56508","a33edd65-e3d8-4197-85d5-df2dd8fb975a","ru2chvg","56508","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""gaming"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0078","banksta:92386","40b376db-d87c-47f5-97bb-1b18d6db8629","banksta","92386","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""technology"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0079","condottieros:18225","85dc0bc9-8b71-4b99-983f-79acc3732d80","condottieros","18225","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""technology"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0080","rbc_news:147934","fcbd0ec4-04cd-44fd-bd57-f6f54e404f11","rbc_news","147934","neutral","0.54","0.18","0.18","0.64","0","0.13","0","0","0","0","[{""aspect"":""war"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""technology"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""media"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0081","banksta:92385","67c5b641-0e9d-4579-8ae0-f741e9cc047e","banksta","92385","negative","0.72","0.12","0.68","0.2","0.32","0.13","0","0","0","0.17","[{""aspect"":""crypto"",""sentiment"":""negative"",""score"":0.7},{""aspect"":""transport"",""sentiment"":""negative"",""score"":0.7},{""aspect"":""security"",""sentiment"":""negative"",""score"":0.7}]"
"gpt_min_0082","condottieros:18224","d074858d-8477-43e6-ba51-68ad02421c65","condottieros","18224","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0083","condottieros:18223","43227dab-ac8f-48a2-b7ff-7a4303df7950","condottieros","18223","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0084","banksta:92384","c335b9da-c555-4ad3-90c5-863ecbdb2b0c","banksta","92384","positive","0.77","0.73","0.1","0.17","0","0","0.08","0","0","0","[{""aspect"":""markets"",""sentiment"":""positive"",""score"":0.75},{""aspect"":""company_results"",""sentiment"":""positive"",""score"":0.75},{""aspect"":""energy"",""sentiment"":""positive"",""score"":0.75}]"
"gpt_min_0085","rbc_news:147933","15f8c9e4-8831-48dc-bf3c-2f3ddce97ea3","rbc_news","147933","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0086","ru2chvg:56506","fa417a2b-949e-4c51-b1db-424cb4200035","ru2chvg","56506","neutral","0.54","0.18","0.18","0.64","0.16","0","0.14","0","0","0","[{""aspect"":""banking"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""security"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""gaming"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0087","rbc_news:147932","f5da0a0d-fa9e-42e5-824f-f24698b7cff8","rbc_news","147932","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0088","rbc_news:147931","f701831d-d5a4-4c76-8cf0-b7b31386faf0","rbc_news","147931","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0089","banksta:92383","84356cc3-240f-4450-abe9-79dccd962764","banksta","92383","neutral","0.59","0.47","0.1","0.43","0","0","0.14","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0090","rbc_news:147930","5d52b347-50a9-471b-8bbb-6462eb1f8359","rbc_news","147930","neutral","0.59","0.47","0.1","0.43","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0091","ru2chvg:56505","e529b6b1-73ec-48a2-a581-c39bf998a6aa","ru2chvg","56505","positive","0.72","0.68","0.1","0.22","0","0","0.14","0","0.14","0","[{""aspect"":""gaming"",""sentiment"":""positive"",""score"":0.7}]"
"gpt_min_0092","banksta:92382","dc21c8fc-3743-49c0-a513-a1be067024ce","banksta","92382","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0093","rbc_news:147929","96391fa7-5ab0-4f08-a76b-1d5d7159f124","rbc_news","147929","neutral","0.59","0.12","0.47","0.41","0","0","0","0","0","0","[{""aspect"":""media"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0094","rbc_news:147928","99b8010c-6a1f-4200-81f5-198942be4e6a","rbc_news","147928","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""war"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""banking"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""security"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0095","banksta:92381","b596e8c5-e675-4cbc-82d7-65688e3083be","banksta","92381","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""security"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0096","ru2chvg:56504","79c40236-876d-47cb-87de-b1d6a9d46d2e","ru2chvg","56504","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""other"",""sentiment"":""neutral"",""score"":0.53}]"
"gpt_min_0097","condottieros:18222","655ea0c9-5cc8-4aef-bbe8-1a50adc20d08","condottieros","18222","neutral","0.54","0.18","0.18","0.64","0","0","0","0","0","0","[{""aspect"":""markets"",""sentiment"":""neutral"",""score"":0.53},{""aspect"":""public_health"",""sentiment"":""neutral"",""score"":0.53}]"
